player_id,full_name,position,legend_score,source_tier,is_manually_curated,curation_tier,justification
00-0002027,Reggie Brown,RB,16.29,2,False,,Algorithmic scoring
00-0023437,Ronnie Brown,RB,66.24,2,False,,Algorithmic scoring
00-0002159,Shawn Bryson,RB,44.75,2,False,,Algorithmic scoring
00-0020270,Correll Buckhalter,RB,50.46,2,False,,Algorithmic scoring
00-0030288,Rex Burkhead,RB,43.23,2,False,,Algorithmic scoring
00-0020917,Joe Burns,RB,7.96,2,False,,Algorithmic scoring
00-0031595,Michael Burton,RB,18.15,2,False,,Algorithmic scoring
00-0025487,Michael Bush,RB,47.64,2,False,,Algorithmic scoring
00-0024217,Reggie Bush,RB,59.73,2,False,,Algorithmic scoring
00-0002380,Steve Bush,RB,21.74,2,False,,Algorithmic scoring
00-0029205,Travaris Cadet,RB,23.45,2,False,,Algorithmic scoring
00-0019649,Trung Canidate,RB,32.05,2,False,,Algorithmic scoring
00-0034164,Trenton Cannon,RB,13.65,2,False,,Algorithmic scoring
00-0031057,Ka'Deem Carey,RB,15.41,2,False,,Algorithmic scoring
00-0033594,Chris Carson,RB,46.58,2,False,,Algorithmic scoring
00-0002713,Tony Carter,RB,20.02,2,False,,Algorithmic scoring
00-0028057,Delone Carter,RB,22.25,2,False,,Algorithmic scoring
00-0002743,Ki-Jana Carter,RB,25.98,2,False,,Algorithmic scoring
00-0036924,Michael Carter,RB,28.97,2,False,,Algorithmic scoring
00-0021357,Rock Cartwright,RB,33.49,2,False,,Algorithmic scoring
00-0019794,Aveion Cason,RB,26.19,2,False,,Algorithmic scoring
00-0025672,Tim Castille,RB,14.41,2,False,,Algorithmic scoring
00-0002846,Larry Centers,RB,36.35,2,False,,Algorithmic scoring
00-0019712,Doug Chapman,RB,14.04,2,False,,Algorithmic scoring
00-0039165,Zach Charbonnet,RB,20.16,2,False,,Algorithmic scoring
00-0026213,Jamaal Charles,RB,78.74,2,False,,Algorithmic scoring
00-0020820,Jesse Chatman,RB,27.29,2,False,,Algorithmic scoring
00-0026262,Tashard Choice,RB,37.58,2,False,,Algorithmic scoring
00-0002970,Bob Christian,RB,36.86,2,False,,Algorithmic scoring
00-0034791,Nick Chubb,RB,64.89,2,False,,Algorithmic scoring
00-0033725,Corey Clement,RB,29.57,2,False,,Algorithmic scoring
00-0003136,Mike Cloud,RB,29.44,2,False,,Algorithmic scoring
00-0024172,Patrick Cobbs,RB,20.37,2,False,,Algorithmic scoring
